Symbol,Description,Market capitalization,Market capitalization - Currency,Price to earnings ratio,Price to earnings ratio forward,"Return on invested capital %, Trailing 12 months","Return on capital employed %, Trailing 12 months","Return on assets %, Trailing 12 months","Return on equity %, Trailing 12 months","Current ratio, Quarterly","Gross margin %, Annual","Operating margin %, Annual","Net margin %, Annual","Interest coverage, Annual","Debt to equity ratio, Quarterly","EBITDA interest coverage, Annual",Country or region of registration,"Free cash flow margin %, Annual","Free cash flow, Annual","Free cash flow, Annual - Currency","Performance %, Year to date","Performance %, 6 months","Performance %, 1 year","Performance %, 5 years",Price,Price - Currency,"Exponential moving average, 50, 1 day","Exponential moving average, 200, 1 day","Relative strength index, 14, 1 day",Sector,Industry,"Altman Z-score, Trailing 12 months","Piotroski F-score, Trailing 12 months",ISIN
LLY,Eli Lilly and Company,1143767595372.7249,USD,41.28634582776912,29.637550915071763,39.8084805127059,50.63399399276549,21.9645435795886,102.429633436174,1.35464275989192,83.0436183433314,45.5606867242517,31.6666410960585,,1.6207089937719499,,United States,13.76516976326731,8972000000,USD,12.878112225938303,18.553572648238323,93.03956848819936,350.69179123854747,1215.02,USD,1148.0969907889062,1031.06491839906,57.29389517501201,Health technology,Pharmaceuticals: major,8.18487828289271,9,US5324571083
005930,"Samsung Electronics Co., Ltd.",1027270807234.3749,USD,,3.95783660072954,,,,,,38.6135692824508,13.0653034119555,13.2674365046824,37.45730233277617,,77.7848895916675,South Korea,11.328625991063744,26077148610,USD,112.56239600665558,42.33983286908078,259.35302390998595,231.38780804150454,255500,KRW,264876.09796517366,212092.83035222898,50.080342295098575,Electronic technology,Telecommunications equipment,,,KR7005930003
BRK.A,Berkshire Hathaway Inc.,1003156094396.9705,USD,12.99086398632456,23.929953575524785,10.297088186406,5.427591239418363,7.06770678180285,12.1149884278469,7.29181985294118,23.6307491842647,15.8516492391855,18.0290972528833,11.615703294535411,0.17297535799761998,14.274215821661077,United States,6.741796879206556,25042000000,USD,3.3333333333333335,3.0585106382978724,10.755090262861918,78.3022291804827,775000,USD,749426.5671220574,736304.1627946462,59.03304225637188,Finance,Property/Casualty insurance,2.9975929391106,5,US0846701086
MU,"Micron Technology, Inc.",980900466035.3767,USD,19.66218495385096,6.048190088934828,58.389879041355,64.90710059818684,47.4982236046473,66.6380585190662,3.42451765188834,40.1653378992991,26.7804590935845,22.8449890309808,12.543859649122806,0.0633016957229657,23.01002506265664,United States,4.4625180587511375,1668000000,USD,194.28886065226598,105.68857312018946,594.9827958710091,1042.188321935823,868.52,USD,887.6148597057887,612.4626494949435,47.02255883256913,Electronic technology,Semiconductors,22.2811140168259,8,US5951121038
JPM,JP Morgan Chase & Co.,962369783412.4619,USD,15.50957460480658,15.051500377326864,7.67605525318848,2.9706603318121845,1.3541187290248,17.7104721389104,1.14733529064984,,40.26913799669925,31.34055671161499,,3.4085045835802603,,United States,36.14410772962959,100867000000,USD,12.260465116279075,15.936274117364519,25.100207325501053,126.27500000000002,362.04,USD,338.49407030615635,313.9135653552467,66.4786659512834,Finance,Major banks,,,US46625H1005
WMT,Walmart Inc.,901332068341.1461,USD,39.898545108676515,38.110389573245065,15.6575934438648,18.04793169016611,8.2379945613873,25.5284269858469,0.771440789645934,24.9266997867248,4.18207338294331,3.0698451826581,10.655591282600929,0.786377610516273,15.729903536977492,United States,2.0925090056550886,14923000000,USD,1.646847655373577,-12.459421858092433,9.00866217516843,127.26261696294517,113.26,USD,114.89918981134497,115.55707038168187,51.43612147901813,Retail trade,Specialty stores,6.56312587727979,7,US9311421039
AMD,"Advanced Micro Devices, Inc.",774315526394.3911,USD,121.72975747465674,42.63139767565768,9.64255902694968,9.448165404775771,8.12259862886417,10.1963133132108,2.60922109096929,45.9915124570571,10.8057391957043,12.3242587834522,28.572519083969464,0.0636082351541116,49.7557251908397,United States,19.443401945783652,6735000000,USD,116.68341708542714,119.76555622480656,178.9461303222771,340.817843866171,474.32,USD,486.01899241662375,354.0195110623017,45.63132757581367,Electronic technology,Semiconductors,30.7409815316532,8,US0079031078
000660,SK hynix Inc.,728632241562.5004,USD,,3.678920021257546,,,,,,59.5711175910035,48.5511501036963,44.1798826362302,40.193707002265946,,52.064665012872155,South Korea,26.613573753296237,17839399380,USD,131.02918586789554,69.17885264341957,461.1940298507463,1374.5098039215686,1504000,KRW,1827602.858756101,1351180.6718926234,42.16875523672977,Electronic technology,Semiconductors,,,KR7000660001
SKHY34,SK hynix Inc. Unsponsored Brazilian Depositary Receipt Repr 0.0625 ADS,728632241562.5004,USD,,0.033276888669114976,,,,,,,,,,,,South Korea,,,,3.4246575342465757,3.4246575342465757,3.4246575342465757,3.4246575342465757,45.3,BRL,,,,Electronic technology,Semiconductors,,,BRSKHYBDR005
V,Visa Inc.,677402136341.5159,USD,31.137200381040653,25.062660104130025,39.1954083328959,46.34244872591672,23.0188989486882,60.6673708729449,0.985222614167223,77.3125,67.165,49.6325,45.61290322580645,0.6782079708908979,47.68421052631579,United States,53.9425,21577000000,USD,3.701374796352928,10.31651920094865,7.7480473970243136,52.39415322580644,362.82,USD,349.78966912996555,334.7769535134401,55.35822155830869,Finance,Finance/Rental/Leasing,8.16665817191596,6,US92826C8394
ASML,ASML Holding NV,667298898584.9679,USD,57.438466565018516,32.862165646624796,47.1488181107056,46.09555875218489,22.3815770234548,53.9423379204738,1.33377267023553,51.5647145616564,34.595451720834,29.4159603028105,85.55185465556397,0.09092158677504189,93.95382286146858,Netherlands,33.932709467877665,13019325899,USD,72.09049380030454,29.159183673469393,153.27357131423082,137.9248120300752,1582.2,EUR,1497.9933466938874,1263.8224969895064,58.01366369795004,Electronic technology,Semiconductors,14.5573794853329,7,NL0010273215
XOM,ExxonMobil Holdings Corporation,657083527469.3661,USD,20.564163277912183,13.49216373779204,11.1461587146036,10.878467145551248,7.18293042598284,12.5512239138806,1.13467297084318,21.6832095830568,10.4777635417792,8.90508019326654,15.881141787552643,0.163343357236487,28.044454843238185,United States,7.289791759929609,23612000000,USD,33.066866516779086,3.840405484436952,49.192419008495946,174.61763189551473,159.8,USD,149.89458573888987,141.2015607054747,65.08707607416216,Energy minerals,Integrated oil,4.2893637714793,7,US30233Q1085
JNJ,Johnson & Johnson,626091608223.7975,USD,30.111963652379515,21.77383688278443,17.5291534561271,18.524397722295223,10.6664976549626,25.7421502165879,1.08887876855816,68.6211217057062,27.7389623903672,28.4609993841449,16.286783042394013,0.577091007520213,20.964463840399002,United States,20.915712799167537,19698000000,USD,25.61647809689586,8.033932135728552,49.82698961937716,49.09612625538021,259.8,USD,250.89521009290283,228.18536272712163,55.31821410122028,Health technology,Pharmaceuticals: major,5.31455899622084,6,US4781601046
700,Tencent Holdings Ltd,551972154928.9767,USD,16.479970166807707,13.404578974332928,16.3644099853319,16.138536254292983,11.7853326389213,21.5741774789787,1.42537102971763,54.7264707369048,32.5552099988561,29.9085087646955,18.188094530507176,0.359606509809762,23.08115338888917,China,29.719886241156697,31126956279.0468,USD,-23.46378018318068,-12.540437678401519,-17.560538116591925,3.3070213985956536,459.6,HKD,464.53297993092343,502.6670163723311,47.174841723874614,Technology services,Packaged software,4.34643936986924,9,KYG875721634
688825,CXMT CORPORATION,508095221640.7116,USD,,19.922676785837925,,,,,,37.5764136659338,12.9329122796278,3.05007896584972,2.475694553051322,0,10.910894566903176,China,-21.192980365820766,-1862362386.164,USD,8.121212121212128,8.121212121212128,8.121212121212128,8.121212121212128,53.52,CNY,,,,Electronic technology,Semiconductors,,,
INTC,Intel Corporation,492849223035.011,USD,,59.01075009059064,-8.12158273381295,2.8231115277054046,-5.7165427297517,-12.1763516246461,1.60395290159798,37.3507653302556,2.70940154768887,-0.505174729911263,0.6250545613269315,0.577288615750154,5.734613705805325,United States,-15.089020490795225,-7975000000,USD,158.69737887212068,104.4142259414226,377.91636096845184,80.07740508661998,97.71,USD,102.59487087499997,76.8750545432018,46.71826468013872,Electronic technology,Semiconductors,4.62804475694446,6,US4581401001
MA,Mastercard Incorporated,491827003727.1415,USD,30.88755508365013,26.38805051461728,59.529825332308,63.90327090599026,29.7960081376808,241.488413547237,1.06071028635418,96.0287489340967,60.071263247655,45.5841149957364,27.587412587412587,4.39190875066833,29.41118881118881,United States,51.504446339383605,16912000000,USD,-1.6242925478789545,3.983849758302022,-2.358260869565208,52.33753900420568,561.44,USD,535.6197880068588,528.0225846404813,58.09396662917894,Finance,Finance/Rental/Leasing,9.251283147027,5,US57636Q1040
CSCO,"Cisco Systems, Inc.",474666993523.0657,USD,39.26126361087566,25.48432490768466,17.544790785076,16.981528617798848,9.97114067697124,25.8048862821216,0.924584608381174,63.8348572033749,21.9931514103153,17.9687224203057,7.8217200251098555,0.675405742821473,9.58631512868801,United States,23.454654569845022,13288000000,USD,57.12701415617459,51.27496545660094,66.56984785615492,115.47682948649134,120.43,USD,114.63057917515555,95.73264585335764,57.351755034046974,Electronic technology,Telecommunications equipment,3.58895806588738,8,US17275R1023
BAC,Bank of America Corporation,447535910527.27844,USD,14.728896253337014,12.977840540056611,5.4340795659687,1.7463090245483024,0.973267421030086,11.2450120111271,1.03401624468511,,32.91936194284431,26.348789608684765,,2.47094262921214,,United States,22.354176640464534,43425000000,USD,16.30019989096856,18.71637915043592,38.9642818369341,53.84615384615385,64,USD,59.34690164184346,54.09435379214596,70.30817904521606,Finance,Major banks,,,US0605051046
ABBV,AbbVie Inc.,441938370125.7289,USD,70.71081203347659,16.484161488492955,10.5060257119391,23.059595155274295,4.6037965897531,,0.808534652514288,70.1275343361674,34.1939175931982,6.84434270765206,6.8365478914677995,,9.497221314154952,United States,29.130150425114454,17816000000,USD,9.333741365742762,12.871778670397621,26.193359572106164,117.16741924279263,250.09,USD,242.58389547117338,225.25975515416044,51.975566007248545,Health technology,Pharmaceuticals: major,2.65533588433142,7,US00287Y1091
PLTR,Palantir Technologies Inc.,420397102745.9095,USD,149.50858900948637,91.70363590710538,37.4585160765841,32.0926632084843,31.6808662267229,38.4216232532504,7.22821249532751,82.3665172141503,31.5949516539804,36.3099677663411,,0.0216283818389527,,United States,46.93590314797676,2100591000,USD,-3.5079977937120868,29.24054373522457,-6.1833002627768545,658.3008235804075,174.94,USD,137.98190992892637,142.31578672439593,73.62481951630042,Technology services,Packaged software,,,US69608A1088
ORCL,Oracle Corporation,419050921874.57794,USD,24.975964839994507,18.066578097217267,10.7283229735669,12.618599826264433,7.94522458848693,54.2797693737194,1.11500335216933,63.3415977552444,33.3209614442448,25.3678162626008,4.8801913459447706,3.93883504281547,6.901065449010654,United States,-35.164867793993196,-23686000000,USD,-26.328049830353983,-7.8832394098651415,-41.433172302737525,61.82424916573969,145.48,USD,149.20902451349318,174.06188029351887,54.11822539324586,Technology services,Packaged software,2.32289885322587,4,US68389X1054
COST,Costco Wholesale Corporation,418785920058.64886,USD,47.49670552968042,42.929833870562405,22.9707602339181,27.30877773452705,10.9170413557982,29.1519609460039,1.07245103857567,12.8432067142624,3.77241266554036,2.94257634385162,67.42207792207792,0.245665343639022,83.17532467532467,United States,2.8473849619416134,7837000000,USD,9.659288849664406,-3.517259347429612,-3.9505268725334552,111.96857463524132,944.32,USD,955.5326942050073,963.4110501912046,48.148423661513135,Retail trade,Specialty stores,9.36594504674725,7,US22160K1051
AMAT,"Applied Materials, Inc.",417313002439.64526,USD,49.38551160387109,34.3152872479611,31.1562757484208,30.725177429555195,23.0201033577748,39.6920923722883,2.50844632140476,48.6745628877609,29.8575860124083,24.6686407219402,31.486988847583643,0.30398594671462603,33.10408921933085,United States,20.086012408347433,5698000000,USD,96.79871199640559,54.6457573261151,180.84958589366818,279.47440618005925,525.61,USD,528.625301910161,409.692994753909,48.014685453897634,Producer manufacturing,Industrial machinery,16.0311275127885,7,US0382221051
LRCX,Lam Research Corporation,389673878837.18365,USD,54.025780260578415,32.76692772041471,47.9830865701769,50.66397885479801,32.3805928213531,65.0655590452318,2.62928251787991,50.4690072479769,35.294212594409,31.2722977838554,52.26661099920961,0.33049403488323004,55.08100252415798,United States,21.053317545234755,4891252000,USD,75.09699184706216,31.76913637709982,199.720885466795,402.28229487572384,311.41,USD,317.38454999065135,255.92284579104248,48.91346934015554,Producer manufacturing,Industrial machinery,30.4450934438195,8,US5128073062
CVX,Chevron Corporation,388555179405.3778,USD,18.85414070139781,13.219042546348149,10.3929337539432,11.1180598437127,7.08867296090059,12.2456140350877,1.25215973089371,14.6791377198782,8.89754733545038,6.66489644184811,11.795258620689655,0.19525181295850602,26.49137931034483,United States,9.11322574701681,16817000000,USD,29.241284132356324,5.844994617868668,26.599716750354055,92.72834182673459,196.66,USD,186.19413750551408,178.08011376211957,61.080670126343584,Energy minerals,Integrated oil,3.31919618775118,6,US1667641005
CAT,"Caterpillar, Inc.",387675999414.841,USD,41.95745400634807,29.36332245034327,20.2384401592463,21.625143938514825,10.4473643393676,51.3504683075583,1.35279371622751,32.2079036529613,17.1610765065321,13.1441506754058,26.42141230068337,2.3078077273458,31.574031890660592,United States,11.026942253917058,7453000000,USD,46.01533960075485,8.585149802366445,102.25670295937455,290.9377462568952,843.37,USD,884.2043586333314,761.4520641736768,43.45950978087324,Producer manufacturing,Trucks/Construction/Farm machinery,4.86004060828917,6,US1491231015
GE,GE Aerospace,381885266462.97516,USD,43.382326940983724,43.74720755866549,24.7122237692827,10.626469838211543,7.07527993653325,48.7450713800136,0.981869898590156,36.4518591211427,18.0242067386326,18.7569512594046,9.804270462633452,1.1468253968254,11.251482799525505,United States,15.841238687166067,7264000000,USD,18.824858757062145,15.822266977154015,33.76703616209341,456.82818769473175,368.06,USD,351.02573450136447,316.31494582969157,55.6905403715086,Electronic technology,Aerospace & defense,3.73405523035302,7,US3696043013
601398,Industrial and Commercial Bank of China Limited Class A,380744065089.4678,USD,,,3.74241849842974,,0.720554707593493,9.50558633282783,0.333884362184062,,49.6227007210767,43.8116499176218,,2.58420431703983,,China,9.546167715792548,20988672400,USD,-4.930467762326177,4.589707927677318,-2.2106631989596983,62.41900647948163,7.52,CNY,7.52705783821787,7.43653160713989,46.7921944655863,Finance,Major banks,,,CNE000001P37
KO,Coca-Cola Company (The),372084434420.9757,USD,26.05525594287608,25.440509422078588,19.5157860297726,19.55654075137332,13.4894348778592,44.2295512473932,1.30460317460317,61.7581418416267,31.3750206645727,27.0850553810547,9.196244700181708,1.20450899031812,9.832222895215022,United States,10.943957678955199,5296000000,USD,23.80816034359343,9.496074955684984,23.015647226173552,52.012656002812456,86.48,USD,83.43224458831138,77.82410370017654,56.984393560018,Consumer non-durables,Beverages: non-alcoholic,5.25984095846169,9,US1912161007
RO,Roche Holding Ltd,366588067008.759,USD,24.141665905442967,17.661097852028636,21.8314655439292,27.350427350427353,12.790854347398,40.2176923954311,1.22844663223212,73.5337148059042,31.3154301319982,20.9376422394174,16.229149115417016,0.9728382222494111,19.087615838247682,Switzerland,22.891605435984133,17763034800,USD,10.513739545997607,0.27100271002710025,43.74514374514376,-7.960199004975125,370,CHF,349.8742667980831,332.3932972833703,60.77366491463317,Health technology,Pharmaceuticals: major,4.64314624679754,5,CH0012032113
UNH,UnitedHealth Group Incorporated,361003663546.9158,USD,25.862645489036076,19.017396527446753,8.40177649799058,10.955802263841962,4.56800905709203,14.6212423189816,0.776784117331425,,4.23713097703807,2.69367491347664,,0.7448474813859229,,United States,3.5916410280471975,16075000000,USD,21.546109793136804,44.58944492378485,58.42360263126797,-2.62450669442897,402.19,USD,407.30585610379717,369.25327839008844,41.349369882626625,Health services,Managed health care,,,US91324P1021
HSBA,HSBC Holdings Plc,354275004080.13477,USD,14.621073864182117,11.546069949947478,5.78438798423306,0.7095301206536141,0.730885196129574,14.1079614311258,1.63318815883691,,22.412099001487054,28.01943913320592,,3.2912171771480203,,United Kingdom,6.768552638482232,9575321079.232,USD,28.390688259109325,15.985979884181647,60.366624525916556,269.4660194174757,1522.2,GBX,1476.7483458849217,1300.1545109018741,51.94953614543367,Finance,Major banks,,,GB0005405286
HD,"Home Depot, Inc. (The)",353457926309.27313,USD,25.16952221362284,23.21851234888448,21.5771724233511,29.648586052097333,13.5341759191736,128.379678409455,1.04474423833614,31.3280666492595,12.6849765913907,8.59590850300274,8.660862354892206,4.55218394118495,10.369402985074627,United States,7.678995403289957,12646000000,USD,3.2175406924264074,-9.927582264007112,-9.103030924662804,6.195326542840027,354.48,USD,338.2143767826449,346.9435881165998,59.45167939565084,Retail trade,Home improvement chains,5.49387826644666,4,US4370761029
MS,Morgan Stanley,337781693610.6411,USD,17.37742800814453,16.329413322529565,4.27127185569861,2.895019481837359,1.33083431855571,17.9544168934538,1.40461357809384,,30.81895332390382,23.848656294200847,,4.68767891067576,,United States,38.507480140665066,46100000000,USD,20.47727081757836,21.21399988727948,49.80670776303417,110.27571372702386,215.07,USD,212.02014889009655,188.14790538687302,50.36999422499719,Finance,Investment managers,,,US6174464486
PG,Procter & Gamble Company (The),337530936872.60583,USD,21.935376667321258,20.79448061986197,20.66824668968,23.46440677966102,12.7474657599542,30.2489325403184,0.67731431229648,50.8732420259215,23.8601893556393,18.4368967736005,18.89535941765241,0.647639651633661,21.770700636942674,United States,17.403943377148636,15147000000,USD,1.467402697225906,-9.25509311336083,-5.4252963397160245,1.7304189435336967,145.21,USD,147.229295378998,149.23122968544686,44.89654508271996,Consumer non-durables,Household/Personal care,5.4450812543365,6,US7427181091
601288,Agricultural Bank of China Limited Class A,328776424448.6496,USD,7.658461172553217,,2.28777948571662,0.9790657704838305,0.614085042395332,10.4659619299946,0.351007861680788,,44.25849098351588,40.24795331341963,,4.47104389371872,,China,19.13269523730795,37058377120,USD,-15.816993464052286,-2.8657616892910935,-4.451038575667653,119.04761904761907,6.44,CNY,6.526273985869187,6.6453139046390515,45.571322284163166,Finance,Major banks,,,CNE100000RJ0
MRK,"Merck & Company, Inc.",321768519596.8217,USD,104.24426504675884,15.126880450322197,,12.880960130607521,,,1.32267137860157,71.9757878199797,36.1734898191788,28.1150848658473,17.307295504789977,1.2855269119786301,21.60943257184967,United States,19.037057573237224,12360000000,USD,23.585710224580676,9.587429627762358,61.09189723320157,72.55887801005557,130.42,USD,125.07815405514093,113.9872725666916,58.31071436676456,Health technology,Pharmaceuticals: major,3.75956583606732,,US58933Y1055
PANW,"Palo Alto Networks, Inc.",312797006941.5728,USD,315.70288722546684,97.91440780662033,4.53664628369649,3.0416702225877277,2.46906346676666,4.83000702035904,0.806018210082167,68.2025700807895,12.4318169495201,12.296264165266,382.1333333333334,0.0748518143703918,656.8000000000001,United States,37.62728406441468,3469800000,USD,107.67274498133217,130.80161164231166,129.5454545454546,513.1159784217119,383.8,USD,317.5851195291966,241.8153389953523,69.57637733589966,Technology services,Packaged software,5.03593792477796,3,US6974351057
NFLX,"Netflix, Inc.",311421071954.93744,USD,23.561842353978957,21.604224132776288,32.0006446247635,32.61231057194692,24.4726654448241,49.5414276192282,1.14160852443918,48.5934532352315,29.6398152244793,24.2548870957991,17.28140397419222,0.5518605168232,38.859432589406445,United States,20.897238136554613,9461053000,USD,-20.54605333050036,-5.460750853242312,-38.39424716435613,44.6615087040619,74.79,USD,76.18085811883284,88.14316584895273,53.352333218574095,Technology services,Internet software/Services,9.22611628193241,7,US64110L1061
BABA,Alibaba Group Holding Limited,309587484014.44727,USD,20.646276080356564,20.639581193733598,8.27610517188459,4.061849162013218,5.66408440651792,10.1592269824905,1.27055529200374,39.4838180272941,5.8169136538142,10.345521505954,6.0804656409749045,0.265553509048098,10.677014197796003,China,-4.955112488325638,-7141247730,USD,-16.22985191980082,-21.622118685630216,6.161255501120972,-34.96948118006104,127.85,USD,119.09243333245573,129.90466384771605,62.46497860121209,Retail trade,Internet retail,2.75939276803269,2,US01609W1027
601939,China Construction Bank Corporation Class A,303111919079.8914,USD,7.6555023923444985,,,,,,0.286119426912585,,48.97701446247812,43.541090936187544,,2.77438321717558,,China,-174.51729296970151,-339018632080,USD,10.226049515608194,15.968289920724802,8.130939809926078,71.81208053691275,10.24,CNY,10.117711777701075,9.622751771095627,50.74876772165178,Finance,Major banks,,,CNE100000742
RTX,RTX Corporation,301709139313.16943,USD,39.418911780243,30.336987748253144,7.66206889722847,8.938237583544337,4.53693958857967,12.0178606095904,1.01054628824413,20.077198288997,10.0301344198278,7.59793686444026,4.843051771117167,0.585383491269566,7.022888283378746,United States,8.96132185140458,7940000000,USD,21.994550408719352,13.634517766497469,44.68250121182745,154.9367953536044,223.86,USD,201.8246461561805,186.28384674652136,76.08929513997795,Electronic technology,Aerospace & defense,2.6476732481258,8,US75513E1010
GS,"Goldman Sachs Group, Inc. (The)",301190628547.0015,USD,15.96454620938294,14.818299167651977,4.70428057457136,3.019390251449315,1.07204195546832,16.9933316588208,1.18589094997189,,37.15045707840199,28.916311722419568,,6.49746622997833,,United States,18.343593766093825,23152000000,USD,17.01470588235295,8.18264534549297,43.23040708944891,153.0357142857143,1034.41,USD,1035.246619071122,928.5449022784292,47.649463300928744,Finance,Investment banks/Brokers,,,US38141G1040
RY,Royal Bank of Canada,293338041155.00183,USD,19.052819052819054,17.597309302247954,6.2575700400956,2.1653195834217263,0.95459177920462,16.2085779971006,0.826408949173195,,37.21696739280404,31.215219757477275,,2.77345310090465,,Canada,14.289704239430822,13869922800,USD,24.70538183365241,24.467091295116774,60.56970692960832,124.69911843618247,293.12,CAD,286.3442668750538,249.4254984650592,49.702570727600396,Finance,Major banks,,,CA7800871021
